text,label,category,language,tactics
arey yaar tu kaahan hai abhi kaisa hai sab,0,family,en,none
bhaiyo aur bahno ko hello bolo wo bohot miss kar rahe hain,0,family,en,none
mummy ne poocha tu kab ghar aayega khaana banaya hai,0,family,en,none
papa bol rahe hain office se jaldi aana kuch kaam hai,0,family,en,none
dadaji phone pe bohot khush hue teri awaaz sunke,0,family,en,none
arey behen tu exam ki preparation kaisi chal rahi hai,0,family,en,none
chacha ji ne poocha tumhara number kahaan se mila,0,family,en,none
mausi ne naya ghar shuru kiya hai party de rahi hai,0,family,en,none
papa ne kaha bus ticket book kar lo weekend ke liye,0,family,en,none
arey didi tu office se late aati hai kya khana banaogi,0,family,en,none
bhai tu market se sabzi leke aana mummy ne kaha,0,family,en,none
nana ji ne health ke baare mein poocha,0,family,en,none
arey cousin tu last week ki shaadi mein kahan gaya,0,family,en,none
dadi ne bohot miss kiya aur video call karna,0,family,en,none
bhai kya haal hai kahan fase hue ho,0,friend_chat,en,none
arey yaar kal movie dekhne chalte hain kaisa rahega,0,friend_chat,en,none
tu canteen mein aaja coffee peete hain,0,friend_chat,en,none
bhai tune naya phone liya kitna price aaya,0,friend_chat,en,none
arey yaar placement ka result aaya pakka milgaya,0,friend_chat,en,none
kal raat ko group mein baat karte hain bhookhe mat raho,0,friend_chat,en,none
tu sports ground aaja cricket khelenge,0,friend_chat,en,none
arey last semester ka result dekh liya tu topper ban gaya,0,friend_chat,en,none
bhai library mein seat mili main bhi aana chahta hoon,0,friend_chat,en,none
yaar cafe ki driving mil jaye toh best hai,0,friend_chat,en,none
arey tu assignment bana raha hai share kar de,0,friend_chat,en,none
bhai festival mein ghar ja raha hai train milta hai,0,friend_chat,en,none
professor ne assignment last date badha diya hai,0,student,en,none
arey exam timetable aaya hai preparation shuru karo,0,student,en,none
library mein seats milna mushkil ho gaya yaar,0,student,en,none
tu chemistry ki notes share kar sakta hai,0,student,en,none
bhai marks aaye hain portal pe check kar le,0,student,en,none
arey sem fees online submit karni hai last date kal hai,0,student,en,none
tu placement cell mein gaye interview dates aaye hain,0,student,en,none
bhai project report deadline miss ho gaya kya karein,0,student,en,none
arey mess ka food bohot kharab ho gaya hai,0,student,en,none
tu hostel room change ke liye apply kiya,0,student,en,none
bhai scholarship form last week tak last date hai,0,student,en,none
arey tuition fees installment ki facility milti hai kya,0,student,en,none
good morning sir meeting 3 baje hai,0,office,en,none
arey report submit kar diya email bhej diya hai,0,office,en,none
bhai client se call aaya presentation ready karo,0,office,en,none
tu leaves ke liye application bhejna hr ne kaha,0,office,en,none
arey project deadline this week hai machao,0,office,en,none
