text,label
"Hello sir, your bank account has been blocked, please share your OTP immediately.",1
"Congratulations! You have won a lottery, send money to claim your reward.",1
"This is a reminder about your electricity bill due tomorrow.",0
"Your one-time password is confidential, do not share with anyone.",0
"Please transfer ₹10,000 to verify your account.",1
"We are calling from the bank regarding your new debit card.",0
"Kindly confirm your UPI pin to receive cashback.",1
"Your package has been delivered successfully.",0
"Your KYC is expiring, update immediately to avoid blockage.",1
"Your meeting is scheduled for 5 PM tomorrow.",0
